premium_id,policy_id,amount,payment_method_id,due_date
155,1154,23.6,101,9/24/2026
156,1155,99.4,102,9/6/2026
157,1156,69.85,100,11/9/2026
158,1157,68.6,101,2/23/2026
159,1158,4.25,102,5/16/2026
160,1159,17.85,100,6/18/2026
161,1160,24,101,2/3/2026
162,1161,31.3,102,2/24/2026
163,1162,36.7,100,10/11/2026
164,1163,43.75,101,6/3/2026
165,1164,53.2,102,4/6/2026
166,1165,45.7,100,4/16/2026
167,1166,52.1,101,7/15/2026
168,1167,99.2,102,2/9/2026
169,1168,14.45,100,2/9/2026
170,1169,28.6,101,4/23/2026
171,1170,98.5,102,9/2/2026
172,1171,86.8,100,8/7/2026
173,1172,82.45,101,8/17/2026
174,1173,73.5,102,4/11/2026
175,1174,29.75,100,8/20/2026
176,1175,82.75,101,8/1/2026
177,1176,83.7,102,4/24/2026
178,1177,71.4,100,10/3/2026
179,1178,22.45,101,11/5/2026
180,1179,80.55,102,6/17/2026
181,1180,76,100,7/5/2026
182,1181,42.8,101,11/1/2026
183,1182,13.3,102,4/3/2026
184,1183,19.45,100,12/10/2026
185,1184,76.5,101,10/16/2026
186,1185,14.65,102,11/1/2026
187,1186,9.2,100,6/10/2026
188,1187,83,101,3/14/2026
189,1188,53.5,102,8/5/2026
190,1189,85.9,100,2/1/2026
191,1190,84.75,101,7/8/2026
192,1191,46.95,102,3/27/2026
193,1192,30.5,100,9/17/2026
194,1193,52.5,101,2/12/2026
195,1194,100.95,102,2/26/2026
196,1195,11.45,100,4/13/2026
197,1196,17.4,101,11/9/2026
198,1197,38.5,102,7/27/2026
199,1198,89.55,100,10/1/2026
200,1199,38.3,101,11/22/2026
201,1200,29.85,102,2/23/2026
202,1201,91,100,4/9/2026
203,1202,13,101,5/5/2026
204,1203,13.45,102,2/15/2026
205,1204,62,100,12/5/2026
206,1205,35.45,101,12/2/2026
207,1206,66.8,102,11/5/2026
208,1207,26.65,100,4/14/2026
209,1208,24.05,101,10/5/2026
210,1209,93.5,102,10/23/2026
211,1210,91.55,100,7/4/2026
212,1211,67.1,101,5/17/2026
213,1212,64,102,9/19/2026
214,1213,52.55,100,2/20/2026
215,1214,8.75,101,12/26/2026
216,1215,56.7,102,2/19/2026
217,1216,19.1,100,4/17/2026
218,1217,17.75,101,5/16/2026
219,1218,29.8,102,10/2/2026
220,1219,52.95,100,8/22/2026
221,1220,20.1,101,6/20/2026
222,1221,99.5,102,7/14/2026
223,1222,71.6,100,8/5/2026
224,1223,21.9,101,7/26/2026
225,1224,6.05,102,10/17/2026
226,1225,74.8,100,11/27/2026
227,1226,75,101,7/6/2026
228,1227,36.5,102,6/8/2026
229,1228,100.05,100,4/3/2026
230,1229,37.45,101,4/1/2026
231,1230,2.65,102,5/19/2026
232,1231,2.6,100,11/23/2026
233,1232,24.65,101,12/9/2026
234,1233,24.6,102,9/6/2026
235,1234,51.9,100,6/11/2026
236,1235,33.3,101,10/8/2026
237,1236,81.95,102,9/1/2026
238,1237,86.85,100,4/15/2026
239,1238,75.05,101,8/11/2026
240,1239,31,102,6/20/2026
241,1240,84.45,100,7/22/2026
242,1241,4.35,101,12/1/2026
243,1242,4.2,102,5/16/2026
244,1243,74.3,100,2/12/2026
245,1244,54.8,101,10/15/2026
246,1245,88.3,102,8/26/2026
247,1246,14.55,100,7/22/2026
248,1247,79.15,101,4/20/2026
249,1248,65.25,102,11/1/2026
250,1249,50.55,100,2/11/2026
251,1250,65.7,101,10/11/2026
252,1251,95.8,102,10/22/2026
253,1252,43,100,5/26/2026
254,1253,59.95,101,10/3/2026
255,1254,86.9,102,6/1/2026
256,1255,13.5,100,7/3/2026
257,1256,78.45,101,2/25/2026
258,1257,1.1,102,4/23/2026
259,1258,82.65,100,7/17/2026
260,1259,98.75,101,9/11/2026
261,1260,70.85,102,10/1/2026
262,1261,97.25,100,2/13/2026
263,1262,61.9,101,12/1/2026
264,1263,59.4,102,7/10/2026
265,1264,94.35,100,4/19/2026
266,1265,93.3,101,11/6/2026
267,1266,56.25,102,2/4/2026
268,1267,15.85,100,11/26/2026
269,1268,23.5,101,6/21/2026
270,1269,54.9,102,11/17/2026
271,1270,16.1,100,2/8/2026
272,1271,34.4,101,10/13/2026
273,1272,44.85,102,11/5/2026
274,1273,32.4,100,5/10/2026
275,1274,12.35,101,10/7/2026
276,1275,3.95,102,9/17/2026
277,1276,96.3,100,10/16/2026
278,1277,44,101,11/3/2026
279,1278,91.7,102,9/11/2026
280,1279,39.1,100,11/3/2026
281,1280,70.3,101,5/18/2026
282,1281,33.35,102,3/6/2026
283,1282,36.5,100,4/5/2026
284,1283,51.1,101,6/9/2026
285,1284,89.4,102,8/26/2026
286,1285,80.9,100,10/16/2026
287,1286,96.8,101,11/17/2026
288,1287,78.3,102,8/6/2026
289,1288,42.25,100,4/27/2026
290,1289,42.6,101,10/14/2026
291,1290,52.35,102,5/6/2026
292,1291,49.9,100,4/1/2026
293,1292,80,101,10/23/2026
294,1293,66.25,102,12/3/2026
295,1294,76.55,100,9/18/2026
296,1295,18.75,101,2/25/2026
297,1296,51.85,102,10/9/2026
298,1297,12.7,100,3/26/2026
299,1298,65.7,101,9/12/2026
300,1299,49.35,102,3/19/2026
301,1300,52,100,12/6/2026
302,1301,92.05,101,10/10/2026
303,1302,35.55,102,7/21/2026
304,1303,26.2,100,8/7/2026
305,1304,23.8,101,6/12/2026
306,1305,5.7,102,8/19/2026
307,1306,32.3,100,2/3/2026
308,1307,61.8,101,11/13/2026
309,1308,74.65,102,10/3/2026
310,1309,58,100,12/8/2026
311,1310,79.25,101,2/25/2026
312,1311,16.5,102,9/3/2026
313,1312,7,100,4/13/2026
314,1313,32.2,101,6/3/2026
315,1314,98.8,102,6/17/2026
316,1315,88.05,100,12/3/2026
317,1316,2.1,101,8/25/2026
318,1317,30.65,102,5/25/2026
319,1318,77.2,100,3/23/2026
320,1319,1.55,101,5/11/2026
321,1320,84.65,102,4/1/2026
322,1321,88.8,100,12/12/2026
323,1322,1.7,101,6/26/2026
324,1323,54.7,102,5/8/2026
325,1324,73.95,100,3/4/2026
326,1325,25.8,101,3/11/2026
327,1326,42.55,102,6/9/2026
328,1327,57.15,100,4/15/2026
329,1328,55,101,2/3/2026
330,1329,73,102,12/17/2026
331,1330,77.3,100,10/1/2026
332,1331,5.45,101,11/25/2026
333,1332,17.2,102,2/3/2026
334,1333,27.1,100,6/9/2026
335,1334,78.5,101,5/14/2026
336,1335,91.9,102,2/13/2026
337,1336,25.25,100,2/17/2026
338,1337,71.35,101,6/10/2026
339,1338,7.9,102,6/27/2026
340,1339,40.7,100,12/16/2026
341,1340,18.9,101,10/23/2026
342,1341,45.5,102,2/23/2026
343,1342,47.15,100,12/7/2026
344,1343,78.3,101,6/16/2026
345,1344,19.2,102,6/27/2026
346,1345,69.05,100,6/14/2026
347,1346,4.5,101,8/22/2026
348,1347,95.6,102,11/10/2026
349,1348,54.2,100,8/14/2026
350,1349,82,101,10/14/2026
351,1350,62.6,102,8/7/2026
352,1351,12.1,100,6/7/2026
353,1352,50.2,101,2/13/2026
354,1353,63.3,102,6/4/2026
355,1354,21,100,4/20/2026
356,1355,47.4,101,12/26/2026
357,1356,1.35,102,2/8/2026
358,1357,65.3,100,12/3/2026
359,1358,59.2,101,4/24/2026
360,1359,66.6,102,5/8/2026
361,1360,51.75,100,12/1/2026
362,1361,66.5,101,11/4/2026
363,1362,80.65,102,8/15/2026
364,1363,82.4,100,2/24/2026
365,1364,45.1,101,6/17/2026
366,1365,3.75,102,5/25/2026
367,1366,72.35,100,5/3/2026
368,1367,85.1,101,7/23/2026
369,1368,98.55,102,6/23/2026
370,1369,15.5,100,6/16/2026
371,1370,16,101,5/20/2026
372,1371,56.8,102,7/25/2026
373,1372,70,100,9/13/2026
374,1373,98.95,101,3/1/2026
375,1374,26.8,102,6/11/2026
376,1375,14.5,100,6/6/2026
377,1376,26.6,101,5/18/2026
378,1377,87.45,102,2/2/2026
379,1378,32.7,100,8/20/2026
380,1379,23.4,101,12/8/2026
381,1380,58.9,102,12/18/2026
382,1381,58.8,100,5/27/2026
383,1382,89.75,101,12/18/2026
384,1383,33.15,102,11/12/2026
385,1384,19.6,100,3/5/2026
386,1385,87.7,101,5/22/2026
387,1386,81.05,102,10/12/2026
388,1387,23,100,7/12/2026
389,1388,25.65,101,3/16/2026
390,1389,22.45,102,12/4/2026
391,1390,51.1,100,3/17/2026
392,1391,68.65,101,10/5/2026
393,1392,61.3,102,8/19/2026
394,1393,73.3,100,2/10/2026
395,1394,6.4,101,4/17/2026
396,1395,5.6,102,2/26/2026
397,1396,84.2,100,12/4/2026
398,1397,48.6,101,8/15/2026
399,1398,37.7,102,10/19/2026
400,1399,65.55,100,8/5/2026
401,1400,75,101,2/25/2026
402,1401,48.3,102,8/7/2026
403,1402,46.25,100,3/24/2026
404,1403,46.7,101,10/21/2026
405,1404,5.4,102,8/20/2026
406,1405,20.2,100,6/26/2026
407,1406,20.3,101,11/7/2026
408,1407,11.4,102,6/14/2026
409,1408,41.5,100,12/16/2026
410,1409,86.7,101,11/11/2026
411,1410,20.3,102,8/3/2026
412,1411,8.5,100,6/9/2026
413,1412,52.35,101,9/20/2026
414,1413,36,102,9/4/2026
415,1414,28.35,100,12/9/2026
416,1415,59.95,101,9/16/2026
417,1416,71.35,102,7/12/2026
418,1417,13.15,100,12/3/2026
419,1418,88,101,4/10/2026
420,1419,47.8,102,8/10/2026
421,1420,7.1,100,8/12/2026
422,1421,40.45,101,11/6/2026
423,1422,67.8,102,3/5/2026
424,1423,56.4,100,12/8/2026
425,1424,51.65,101,3/13/2026
426,1425,1.95,102,4/3/2026
427,1426,48.9,100,9/15/2026
428,1427,12.8,101,4/1/2026
429,1428,19.3,102,5/15/2026
430,1429,79.15,100,3/24/2026
431,1430,70,101,2/8/2026
432,1431,73.1,102,11/4/2026
433,1432,47.3,100,9/9/2026
434,1433,86,101,9/7/2026
435,1434,70,102,11/25/2026
436,1435,25.15,100,6/23/2026
437,1436,59.8,101,6/17/2026
438,1437,38.8,102,10/14/2026
439,1438,81.3,100,7/3/2026
440,1439,65.4,101,4/2/2026
441,1440,30.4,102,6/27/2026
442,1441,3.8,100,8/10/2026
443,1442,20.05,101,3/20/2026
444,1443,74.75,102,2/27/2026
445,1444,34.95,100,3/13/2026
446,1445,16.1,101,11/1/2026
447,1446,42.1,102,8/19/2026
448,1447,91.05,100,6/6/2026
449,1448,19.85,101,3/9/2026
450,1449,12.65,102,11/2/2026
451,1450,50.7,100,11/7/2026
452,1451,60.2,101,3/14/2026
453,1452,9.8,102,8/15/2026
454,1453,75.2,100,2/24/2026
455,1454,26.1,101,3/7/2026
456,1455,49.25,102,12/23/2026
457,1456,1.2,100,11/23/2026
458,1457,58.3,101,7/16/2026
459,1458,81.6,102,11/1/2026
460,1459,69.9,100,3/10/2026
461,1460,88.8,101,4/19/2026
462,1461,47.7,102,2/2/2026
463,1462,14.7,100,3/12/2026
464,1463,75.8,101,8/14/2026
465,1464,26.6,102,12/26/2026
466,1465,2.2,100,5/19/2026
467,1466,66.8,101,2/15/2026
468,1467,73.8,102,7/17/2026
469,1468,65.9,100,11/15/2026
470,1469,67.8,101,11/12/2026
471,1470,86.35,102,2/17/2026
472,1471,72,100,10/1/2026
473,1472,55.2,101,9/13/2026
474,1473,25.8,102,5/18/2026
475,1474,62.7,100,10/10/2026
476,1475,30.7,101,4/16/2026
477,1476,16.85,102,2/1/2026
478,1477,60.05,100,8/9/2026
479,1478,76.3,101,8/18/2026
480,1479,7.25,102,4/2/2026
481,1480,73.5,100,12/22/2026
482,1481,12.9,101,3/23/2026
483,1482,47.9,102,2/10/2026
484,1483,79.6,100,6/22/2026
485,1484,66.35,101,2/10/2026
486,1485,56.45,102,6/16/2026
487,1486,28.7,100,12/5/2026
488,1487,91.9,101,2/8/2026
489,1488,25.45,102,5/5/2026
490,1489,28,100,11/4/2026
491,1490,93.15,101,7/4/2026
492,1491,31.7,102,2/16/2026
493,1492,85.75,100,2/11/2026
494,1493,32.8,101,12/26/2026
495,1494,33.6,102,2/12/2026
496,1495,23.4,100,7/9/2026
497,1496,36,101,9/7/2026
498,1497,39.85,102,2/27/2026
499,1498,73.7,100,10/20/2026
500,1499,59.05,101,12/4/2026
501,1500,54.75,102,9/19/2026
502,1501,12,100,9/2/2026
503,1502,18.45,101,10/15/2026
504,1503,25.7,102,3/15/2026
505,1504,11.9,100,8/16/2026
506,1505,60.05,101,10/19/2026
507,1506,20.3,102,4/17/2026
508,1507,82,100,7/4/2026
509,1508,68.95,101,12/14/2026
510,1509,2.1,102,2/10/2026
511,1510,80,100,11/1/2026
512,1511,81.75,101,2/12/2026
513,1512,55.6,102,7/14/2026
514,1513,37.5,100,4/11/2026
515,1514,67.1,101,5/11/2026
516,1515,31.55,102,11/7/2026
517,1516,79.3,100,3/20/2026
518,1517,78.35,101,6/17/2026
519,1518,50.2,102,2/25/2026
520,1519,54.75,100,3/17/2026
521,1520,37.35,101,5/7/2026
522,1521,16.9,102,8/12/2026
523,1522,100.1,100,12/19/2026
524,1523,19.25,101,3/8/2026
525,1524,73.9,102,3/7/2026
526,1525,54.5,100,7/4/2026
527,1526,47.1,101,3/11/2026
528,1527,63.3,102,9/4/2026
529,1528,18.2,100,9/22/2026
530,1529,52.1,101,2/3/2026
531,1530,15,102,4/14/2026
532,1531,13.5,100,2/23/2026
533,1532,26.3,101,9/20/2026
534,1533,83.3,102,12/3/2026
535,1534,53.4,100,6/7/2026
536,1535,38.25,101,3/7/2026
537,1536,15.6,102,2/2/2026
538,1537,84.5,100,5/10/2026
539,1538,89,101,9/6/2026
540,1539,92,102,2/9/2026
541,1540,84.3,100,3/3/2026
542,1541,89.7,101,6/18/2026
543,1542,36.3,102,6/15/2026
544,1543,5.75,100,12/25/2026
545,1544,49.25,101,2/5/2026
546,1545,12.3,102,8/26/2026
547,1546,63.5,100,8/6/2026
548,1547,29.2,101,6/20/2026
549,1548,58.4,102,7/25/2026
550,1549,21.05,100,5/6/2026
551,1550,39.2,101,5/8/2026
552,1551,74.4,102,2/21/2026
553,1552,20.9,100,12/13/2026
554,1553,21.2,101,7/27/2026
555,1554,83.3,102,10/10/2026
556,1555,71.2,100,12/17/2026
557,1556,17,101,2/25/2026
558,1557,18.85,102,10/1/2026
559,1558,16.7,100,2/26/2026
560,1559,77.6,101,12/3/2026
561,1560,91.5,102,9/2/2026
562,1561,92.25,100,2/1/2026
563,1562,12.3,101,6/20/2026
564,1563,37.25,102,12/8/2026
565,1564,81.3,100,2/19/2026
566,1565,7,101,8/18/2026
567,1566,63.4,102,5/18/2026
568,1567,78.85,100,2/20/2026
569,1568,53.3,101,5/14/2026
570,1569,94.2,102,5/2/2026
571,1570,69.85,100,2/20/2026
572,1571,76.1,101,11/9/2026
573,1572,87.2,102,7/6/2026
574,1573,69.8,100,4/11/2026
575,1574,15.55,101,2/15/2026
576,1575,57.8,102,6/11/2026
577,1576,5.05,100,2/14/2026
578,1577,52.55,101,10/26/2026
579,1578,78.05,102,12/4/2026
580,1579,19.8,100,5/6/2026
581,1580,45.15,101,2/3/2026
582,1581,54.3,102,10/17/2026
583,1582,7.6,100,5/10/2026
584,1583,16.3,101,6/1/2026
585,1584,47,102,4/4/2026
586,1585,75.1,100,8/14/2026
587,1586,65.1,101,10/4/2026
588,1587,33.45,102,9/1/2026
589,1588,20.25,100,4/6/2026
590,1589,3.3,101,12/22/2026
591,1590,81.7,102,2/10/2026
592,1591,100.55,100,6/2/2026
593,1592,79.1,101,3/19/2026
594,1593,40.9,102,2/22/2026
595,1594,5.7,100,9/3/2026
596,1595,62.45,101,3/20/2026
597,1596,3.5,102,2/4/2026
598,1597,56.4,100,8/17/2026
599,1598,33.6,101,10/23/2026
600,1599,74.7,102,2/2/2026
601,1600,71.8,100,12/27/2026
602,1601,73.75,101,11/12/2026
603,1602,81.8,102,8/19/2026
604,1603,64.2,100,12/16/2026
605,1604,62.8,101,8/23/2026
606,1605,6,102,4/23/2026
607,1606,2.5,100,12/18/2026
608,1607,87.6,101,12/1/2026
609,1608,69.35,102,8/19/2026
610,1609,13.7,100,11/14/2026
611,1610,61.5,101,8/20/2026
612,1611,95.55,102,2/9/2026
613,1612,55.95,100,4/27/2026
614,1613,16.8,101,7/12/2026
615,1614,94.45,102,9/27/2026
616,1615,47.45,100,12/23/2026
617,1616,100.2,101,2/6/2026
618,1617,70.65,102,2/27/2026
619,1618,38.45,100,10/9/2026
620,1619,64.1,101,2/6/2026
621,1620,70.25,102,4/17/2026
622,1621,85.9,100,6/21/2026
623,1622,57.85,101,4/25/2026
624,1623,24.3,102,6/1/2026
625,1624,38.15,100,2/25/2026
626,1625,74.4,101,5/24/2026
627,1626,45.9,102,7/5/2026
628,1627,29.75,100,11/2/2026
629,1628,17.3,101,2/26/2026
630,1629,38.4,102,2/2/2026
631,1630,54.8,100,2/5/2026
632,1631,52.15,101,6/2/2026
633,1632,53.8,102,7/19/2026
634,1633,73.95,100,2/19/2026
635,1634,12.5,101,3/7/2026
636,1635,70.1,102,10/24/2026
637,1636,75.65,100,4/27/2026
638,1637,89.6,101,2/15/2026
639,1638,60.6,102,7/18/2026
640,1639,46.25,100,10/11/2026
641,1640,36.55,101,6/19/2026
642,1641,19.55,102,2/19/2026
643,1642,86.15,100,5/23/2026
644,1643,84.6,101,2/1/2026
645,1644,17,102,5/24/2026
646,1645,11.25,100,6/16/2026
647,1646,36.75,101,2/14/2026
648,1647,51.4,102,6/1/2026
649,1648,45.5,100,7/8/2026
650,1649,3.1,101,2/5/2026
651,1650,14.85,102,12/22/2026
652,1651,17.8,100,6/1/2026
653,1652,87.75,101,10/7/2026
654,1653,60.7,102,5/15/2026
655,1654,1.65,100,12/11/2026
656,1655,6.2,101,12/17/2026
657,1656,73.3,102,5/11/2026
658,1657,57.2,100,3/10/2026
659,1658,8.6,101,11/8/2026
660,1659,61.3,102,11/4/2026
661,1660,62.55,100,4/5/2026
662,1661,78.75,101,8/26/2026
663,1662,54.35,102,9/27/2026
664,1663,62.2,100,11/10/2026
665,1664,49,101,6/5/2026
666,1665,74,102,3/27/2026
667,1666,90.7,100,5/25/2026
668,1667,5.25,101,2/18/2026
669,1668,12.85,102,2/18/2026
670,1669,97.1,100,6/23/2026
671,1670,96.45,101,5/8/2026
672,1671,38.5,102,9/24/2026
673,1672,30.8,100,6/26/2026
674,1673,75.7,101,4/27/2026
675,1674,95.95,102,5/19/2026
676,1675,26,100,8/16/2026
677,1676,61.8,101,3/7/2026
678,1677,83.05,102,9/6/2026
679,1678,86.5,100,4/8/2026
680,1679,5.65,101,10/9/2026
681,1680,13.65,102,5/26/2026
682,1681,97.8,100,9/17/2026
683,1682,58.4,101,4/13/2026
684,1683,26.85,102,6/1/2026
685,1684,19,100,8/23/2026
686,1685,29.1,101,11/11/2026
687,1686,15.65,102,2/18/2026
688,1687,25.95,100,8/24/2026
689,1688,35.35,101,2/11/2026
690,1689,25.35,102,3/17/2026
691,1690,79.9,100,2/4/2026
692,1691,6,101,4/3/2026
693,1692,50.7,102,6/10/2026
694,1693,67.8,100,7/17/2026
695,1694,41.6,101,7/10/2026
696,1695,11.95,102,11/8/2026
697,1696,41.7,100,9/13/2026
698,1697,12.1,101,4/21/2026
699,1698,71,102,3/4/2026
700,1699,1.5,100,7/5/2026
701,1700,68.15,101,8/27/2026
702,1701,78.05,102,11/23/2026
703,1702,17.2,100,11/20/2026
704,1703,91.3,101,4/7/2026
705,1704,87.9,102,2/1/2026
706,1705,40.8,100,2/13/2026
707,1706,43.2,101,2/26/2026
708,1707,30.1,102,8/1/2026
709,1708,21.1,100,7/11/2026
710,1709,97.4,101,2/24/2026
711,1710,59.85,102,3/1/2026
712,1711,56.3,100,3/25/2026
713,1712,96.4,101,5/21/2026
714,1713,92.55,102,7/26/2026
715,1714,5.9,100,8/8/2026
716,1715,77.5,101,10/22/2026
717,1716,43,102,7/7/2026
718,1717,98.35,100,5/1/2026
719,1718,65.45,101,9/8/2026
720,1719,29.65,102,2/16/2026
721,1720,20.5,100,11/12/2026
722,1721,67.25,101,5/12/2026
723,1722,4,102,9/23/2026
724,1723,64.85,100,6/22/2026
725,1724,42.65,101,12/21/2026
726,1725,85.1,102,12/27/2026
727,1726,48.8,100,8/6/2026
728,1727,28.4,101,6/3/2026
729,1728,60.35,102,4/3/2026
730,1729,64.55,100,4/17/2026
731,1730,43.2,101,12/8/2026
732,1731,39.8,102,6/15/2026
733,1732,15.95,100,2/11/2026
734,1733,45.35,101,11/27/2026
735,1734,36.4,102,9/2/2026
736,1735,62.5,100,11/25/2026
737,1736,20,101,8/1/2026
738,1737,6.6,102,10/22/2026
739,1738,22.55,100,7/19/2026
740,1739,11.2,101,8/14/2026
741,1740,64.9,102,4/14/2026
742,1741,47.8,100,6/7/2026
743,1742,75.45,101,2/21/2026
744,1743,92.4,102,2/20/2026
745,1744,95.9,100,12/19/2026
746,1745,93.3,101,3/17/2026
747,1746,71,102,10/23/2026
748,1747,57.65,100,2/6/2026
749,1748,6.2,101,6/7/2026
750,1749,30.4,102,11/19/2026
751,1750,50.95,100,3/22/2026
752,1751,66.8,101,11/8/2026
753,1752,72.7,102,5/2/2026
754,1753,41.85,100,10/19/2026
755,1754,13.45,101,4/11/2026
756,1755,63.9,102,9/7/2026
757,1756,33.3,100,6/9/2026
758,1757,80.2,101,9/12/2026
759,1758,45,102,3/27/2026
760,1759,90.5,100,12/23/2026
761,1760,46.3,101,7/14/2026
762,1761,33.4,102,11/21/2026
763,1762,27.05,100,8/9/2026
764,1763,73.3,101,11/17/2026
765,1764,14.4,102,9/13/2026
766,1765,17.4,100,8/15/2026
767,1766,55.75,101,3/13/2026
768,1767,10.5,102,6/8/2026
769,1768,32.7,100,11/5/2026
770,1769,89.75,101,2/25/2026
771,1770,45.6,102,2/15/2026
772,1771,93.7,100,6/4/2026
773,1772,43.6,101,7/1/2026
774,1773,75.6,102,5/3/2026
775,1774,31.25,100,7/11/2026
776,1775,9.2,101,12/26/2026
777,1776,93.55,102,12/9/2026
778,1777,6.8,100,8/20/2026
779,1778,88.35,101,9/8/2026
780,1779,43.2,102,4/3/2026
781,1780,8,100,6/12/2026
