coverage_id,policy_id,coverage_amount,coverage_type_id
1099,1039,5516,1002
1100,1040,2905,1000
1101,1040,8350,1001
1102,1041,6739,1002
1103,1041,699,1000
1104,1042,333,1001
1105,1042,221,1002
1106,1043,4080,1000
1107,1043,3181,1001
1108,1044,7651,1002
1109,1044,8583,1000
1110,1045,7620,1001
1111,1045,3281,1002
1112,1045,186,1000
1113,1046,7193,1001
1114,1046,6810,1002
1115,1046,4637,1000
1116,1047,3849,1001
1117,1047,5648,1002
1118,1048,595,1000
1119,1048,4282,1001
1120,1048,8938,1002
1121,1049,2239,1000
1122,1049,8577,1001
1123,1050,6675,1002
1124,1050,6586,1000
1125,1051,7133,1001
1126,1051,4765,1002
1127,1052,5914,1000
1128,1052,731,1001
1129,1052,9540,1002
1130,1053,5363,1000
1131,1053,1492,1001
1132,1054,5347,1002
1133,1054,2356,1000
1134,1054,3521,1001
1135,1055,8855,1002
1136,1055,491,1000
1137,1055,6861,1001
1138,1056,6795,1002
1139,1056,8707,1000
1140,1056,9424,1001
1141,1057,2953,1002
1142,1057,2906,1000
1143,1057,3734,1001
1144,1058,2468,1002
1145,1058,6863,1000
1146,1059,7160,1001
1147,1059,6070,1002
1148,1060,8014,1000
1149,1060,8929,1001
1150,1060,9861,1002
1151,1061,4172,1000
1152,1061,1078,1001
1153,1062,5967,1002
1154,1062,4822,1000
1155,1062,5955,1001
1156,1063,8378,1002
1157,1063,6002,1000
1158,1063,9280,1001
1159,1064,8845,1002
1160,1064,5149,1000
1161,1065,8306,1001
1162,1065,7681,1002
1163,1065,3086,1000
1164,1066,9666,1001
1165,1066,6496,1002
1166,1067,5544,1000
1167,1067,4511,1001
1168,1067,8997,1002
1169,1068,9501,1000
1170,1068,3848,1001
1171,1069,7388,1002
1172,1069,9026,1000
1173,1069,3681,1001
1174,1070,8761,1002
1175,1070,3719,1000
1176,1071,1964,1001
1177,1071,4677,1002
1178,1071,8231,1000
1179,1072,6131,1001
1180,1072,3848,1002
1181,1073,5305,1000
1182,1073,113,1001
1183,1073,5353,1002
1184,1074,479,1000
1185,1074,2895,1001
1186,1074,2651,1002
1187,1075,5206,1000
1188,1075,4272,1001
1189,1075,5678,1002
1190,1076,5164,1000
1191,1076,6315,1001
1192,1076,795,1002
1193,1077,688,1000
1194,1077,1905,1001
1195,1077,8636,1002
1196,1078,5015,1000
1197,1078,5316,1001
1198,1078,5672,1002
1199,1079,6962,1000
1200,1079,4828,1001
1201,1079,9805,1002
1202,1080,8134,1000
1203,1080,7961,1001
1204,1081,2234,1002
1205,1081,8816,1000
1206,1082,9810,1001
1207,1082,1442,1002
1208,1083,241,1000
1209,1083,1338,1001
1210,1083,6167,1002
1211,1084,9314,1000
1212,1084,3783,1001
1213,1085,9064,1002
1214,1085,8070,1000
1215,1085,1218,1001
1216,1086,8917,1002
1217,1086,2542,1000
1218,1086,2226,1001
1219,1087,9661,1002
1220,1087,7514,1000
1221,1087,7633,1001
1222,1088,6162,1002
1223,1088,6452,1000
1224,1089,9750,1001
1225,1089,7580,1002
1226,1090,9330,1000
1227,1090,2605,1001
1228,1090,9536,1002
1229,1091,383,1000
1230,1091,6066,1001
1231,1091,4304,1002
1232,1092,1873,1000
1233,1092,7163,1001
1234,1093,8229,1002
1235,1093,1849,1000
1236,1094,2167,1001
1237,1094,7079,1002
1238,1095,1108,1000
1239,1095,7929,1001
1240,1096,1571,1002
1241,1096,4766,1000
1242,1096,9593,1001
1243,1097,9173,1002
1244,1097,5915,1000
1245,1097,2415,1001
1246,1098,500,1002
1247,1098,1013,1000
1248,1099,8345,1001
1249,1099,5404,1002
1250,1099,5514,1000
1251,1100,4918,1001
1252,1100,1914,1002
1253,1100,1131,1000
1254,1101,2928,1001
1255,1101,8777,1002
1256,1102,6959,1000
1257,1102,920,1001
1258,1103,9748,1002
1259,1103,8674,1000
1260,1103,687,1001
1261,1104,3313,1002
1262,1104,6661,1000
1263,1105,1257,1001
1264,1105,4931,1002
1265,1106,1737,1000
1266,1106,7062,1001
1267,1106,6172,1002
1268,1107,4009,1000
1269,1107,533,1001
1270,1107,111,1002
1271,1108,8715,1000
1272,1108,8211,1001
1273,1108,7538,1002
1274,1109,1596,1000
1275,1109,2603,1001
1276,1109,3653,1002
1277,1110,8605,1000
1278,1110,5580,1001
1279,1111,5508,1002
1280,1111,7049,1000
1281,1112,3433,1001
1282,1112,6979,1002
1283,1113,1043,1000
1284,1113,8958,1001
1285,1114,2253,1002
1286,1114,120,1000
1287,1115,5225,1001
1288,1115,661,1002
1289,1115,1395,1000
1290,1116,4264,1001
1291,1116,2521,1002
1292,1116,4051,1000
1293,1117,8939,1001
1294,1117,1793,1002
1295,1117,4846,1000
1296,1118,1027,1001
1297,1118,1718,1002
1298,1118,5576,1000
1299,1119,7555,1001
1300,1119,7681,1002
1301,1119,4843,1000
1302,1120,8052,1001
1303,1120,6889,1002
1304,1121,1743,1000
1305,1121,2437,1001
1306,1122,4416,1002
1307,1122,9541,1000
1308,1123,8852,1001
1309,1123,8338,1002
1310,1123,557,1000
1311,1124,8078,1001
1312,1124,9047,1002
1313,1124,5398,1000
1314,1125,3341,1001
1315,1125,7443,1002
1316,1125,7801,1000
1317,1126,9014,1001
1318,1126,1993,1002
1319,1127,2372,1000
1320,1127,7385,1001
1321,1127,2110,1002
1322,1128,2525,1000
1323,1128,8692,1001
1324,1128,2157,1002
1325,1129,8187,1000
1326,1129,3287,1001
1327,1130,3854,1002
1328,1130,1359,1000
1329,1131,7314,1001
1330,1131,6139,1002
1331,1131,5805,1000
1332,1132,5646,1001
1333,1132,9255,1002
1334,1133,161,1000
1335,1133,8946,1001
1336,1134,7017,1002
1337,1134,9511,1000
1338,1134,1557,1001
1339,1135,4673,1002
1340,1135,4152,1000
1341,1136,239,1001
1342,1136,7,1002
1343,1137,8756,1000
1344,1137,5379,1001
1345,1137,738,1002
1346,1138,5897,1000
1347,1138,87,1001
1348,1139,5896,1002
1349,1139,7158,1000
1350,1139,164,1001
1351,1140,7034,1002
1352,1140,2361,1000
1353,1141,1831,1001
1354,1141,4851,1002
1355,1141,7459,1000
1356,1142,1964,1001
1357,1142,6355,1002
1358,1142,2613,1000
1359,1143,4889,1001
1360,1143,7193,1002
1361,1143,301,1000
1362,1144,255,1001
1363,1144,2202,1002
1364,1144,9504,1000
1365,1145,7659,1001
1366,1145,4216,1002
1367,1146,3525,1000
1368,1146,6736,1001
1369,1147,6744,1002
1370,1147,1660,1000
1371,1147,6065,1001
1372,1148,1681,1002
1373,1148,4114,1000
1374,1149,5674,1001
1375,1149,5845,1002
1376,1149,4571,1000
1377,1150,6013,1001
1378,1150,8774,1002
1379,1150,1773,1000
1380,1151,5197,1001
1381,1151,8910,1002
1382,1152,4871,1000
1383,1152,2556,1001
1384,1152,6007,1002
1385,1153,4896,1000
1386,1153,3530,1001
1387,1154,1652,1002
1388,1154,9344,1000
1389,1155,3459,1001
1390,1155,4253,1002
1391,1156,383,1000
1392,1156,6816,1001
1393,1156,8152,1002
1394,1157,5637,1000
1395,1157,9098,1001
1396,1157,6039,1002
1397,1158,1398,1000
1398,1158,2360,1001
1399,1158,4837,1002
1400,1159,7157,1000
1401,1159,4536,1001
1402,1160,756,1002
1403,1160,4836,1000
1404,1161,8608,1001
1405,1161,5485,1002
1406,1162,4294,1000
1407,1162,5105,1001
1408,1163,3281,1002
1409,1163,6455,1000
1410,1164,5860,1001
1411,1164,8279,1002
1412,1165,5494,1000
1413,1165,8108,1001
1414,1165,8148,1002
1415,1166,3464,1000
1416,1166,1922,1001
1417,1167,7000,1002
1418,1167,7650,1000
1419,1167,3273,1001
1420,1168,5081,1002
1421,1168,201,1000
1422,1169,142,1001
1423,1169,177,1002
1424,1170,8325,1000
1425,1170,8706,1001
1426,1170,4444,1002
1427,1171,3757,1000
1428,1171,1123,1001
1429,1172,1689,1002
1430,1172,2242,1000
1431,1172,5983,1001
1432,1173,1846,1002
1433,1173,9096,1000
1434,1173,5469,1001
1435,1174,4586,1002
1436,1174,9907,1000
1437,1175,6031,1001
1438,1175,3948,1002
1439,1176,1240,1000
1440,1176,9572,1001
1441,1176,9296,1002
1442,1177,1219,1000
1443,1177,2276,1001
1444,1178,6294,1002
1445,1178,9634,1000
1446,1179,4154,1001
1447,1179,5664,1002
1448,1180,4442,1000
1449,1180,6864,1001
1450,1180,4940,1002
1451,1181,3169,1000
1452,1181,8007,1001
1453,1182,9783,1002
1454,1182,7097,1000
1455,1183,190,1001
1456,1183,1990,1002
1457,1184,1755,1000
1458,1184,7924,1001
1459,1184,8100,1002
1460,1185,5077,1000
1461,1185,5682,1001
1462,1186,4101,1002
1463,1186,8469,1000
1464,1186,5509,1001
1465,1187,2727,1002
1466,1187,8231,1000
1467,1187,9348,1001
1468,1188,1628,1002
1469,1188,9577,1000
1470,1189,9035,1001
1471,1189,8714,1002
1472,1189,5860,1000
1473,1190,1289,1001
1474,1190,4388,1002
1475,1190,7845,1000
1476,1191,9882,1001
1477,1191,4384,1002
1478,1192,1241,1000
1479,1192,9892,1001
1480,1192,4336,1002
1481,1193,6486,1000
1482,1193,503,1001
1483,1193,9372,1002
1484,1194,8699,1000
1485,1194,9580,1001
1486,1195,2876,1002
1487,1195,1590,1000
1488,1195,9237,1001
1489,1196,3299,1002
1490,1196,2221,1000
1491,1197,1838,1001
1492,1197,3468,1002
1493,1197,6707,1000
1494,1198,673,1001
1495,1198,9430,1002
1496,1198,449,1000
1497,1199,6405,1001
1498,1199,1171,1002
1499,1199,2577,1000
1500,1200,5675,1001
1501,1200,7833,1002
1502,1200,9732,1000
1503,1201,104,1001
1504,1201,6402,1002
1505,1201,3649,1000
1506,1202,5942,1001
1507,1202,8728,1002
1508,1202,8868,1000
1509,1203,3044,1001
1510,1203,3650,1002
1511,1204,3122,1000
1512,1204,8931,1001
1513,1204,6732,1002
1514,1205,2995,1000
1515,1205,3434,1001
1516,1205,6404,1002
1517,1206,4152,1000
1518,1206,8345,1001
1519,1206,9449,1002
1520,1207,9633,1000
1521,1207,5355,1001
1522,1207,3016,1002
1523,1208,3611,1000
1524,1208,9224,1001
1525,1209,203,1002
1526,1209,918,1000
1527,1209,8194,1001
1528,1210,4427,1002
1529,1210,3843,1000
1530,1210,6720,1001
1531,1211,3089,1002
1532,1211,910,1000
1533,1212,6097,1001
1534,1212,4949,1002
1535,1212,3681,1000
1536,1213,204,1001
1537,1213,7401,1002
1538,1214,6297,1000
1539,1214,6895,1001
1540,1215,6307,1002
1541,1215,7696,1000
1542,1215,7364,1001
1543,1216,9580,1002
1544,1216,6995,1000
1545,1216,9345,1001
1546,1217,5521,1002
1547,1217,7532,1000
1548,1218,5298,1001
1549,1218,5836,1002
1550,1219,1775,1000
1551,1219,9496,1001
1552,1219,4587,1002
1553,1220,8354,1000
1554,1220,8099,1001
1555,1221,6796,1002
1556,1221,1418,1000
1557,1221,9914,1001
1558,1222,8164,1002
1559,1222,1881,1000
1560,1222,4450,1001
1561,1223,976,1002
1562,1223,2862,1000
1563,1223,3780,1001
1564,1224,5239,1002
1565,1224,1968,1000
1566,1224,7584,1001
1567,1225,1781,1002
1568,1225,4884,1000
1569,1226,3471,1001
1570,1226,6270,1002
1571,1227,9449,1000
1572,1227,5239,1001
1573,1228,1379,1002
1574,1228,7327,1000
1575,1228,5537,1001
1576,1229,4544,1002
1577,1229,4006,1000
1578,1229,4911,1001
1579,1230,9297,1002
1580,1230,8438,1000
1581,1231,8583,1001
1582,1231,863,1002
1583,1232,4050,1000
1584,1232,1761,1001
1585,1233,3224,1002
1586,1233,4704,1000
1587,1234,9696,1001
1588,1234,7905,1002
1589,1235,6385,1000
1590,1235,3820,1001
1591,1235,9916,1002
1592,1236,2437,1000
1593,1236,1772,1001
1594,1237,2941,1002
1595,1237,3227,1000
1596,1237,8341,1001
1597,1238,6599,1002
1598,1238,6820,1000
1599,1239,5125,1001
1600,1239,4858,1002
1601,1240,2485,1000
1602,1240,1027,1001
1603,1240,4343,1002
1604,1241,2464,1000
1605,1241,4429,1001
1606,1242,7107,1002
1607,1242,8433,1000
1608,1243,4042,1001
1609,1243,3065,1002
1610,1243,6687,1000
1611,1244,3145,1001
1612,1244,5374,1002
1613,1245,9481,1000
1614,1245,967,1001
1615,1245,6631,1002
1616,1246,2981,1000
1617,1246,7310,1001
1618,1247,7487,1002
1619,1247,3399,1000
1620,1248,4381,1001
1621,1248,4767,1002
1622,1249,5005,1000
1623,1249,8842,1001
1624,1249,4711,1002
1625,1250,5415,1000
1626,1250,7918,1001
1627,1250,2004,1002
1628,1251,761,1000
1629,1251,4884,1001
1630,1252,6081,1002
1631,1252,2687,1000
1632,1253,7340,1001
1633,1253,5130,1002
1634,1254,5098,1000
1635,1254,9319,1001
1636,1255,8911,1002
1637,1255,7966,1000
1638,1255,6369,1001
1639,1256,9901,1002
1640,1256,7522,1000
1641,1256,4268,1001
1642,1257,8513,1002
1643,1257,7653,1000
1644,1258,1244,1001
1645,1258,5970,1002
1646,1258,5225,1000
1647,1259,5847,1001
1648,1259,374,1002
1649,1259,3618,1000
1650,1260,318,1001
1651,1260,7617,1002
1652,1260,8526,1000
1653,1261,4276,1001
1654,1261,9591,1002
1655,1262,7235,1000
1656,1262,85,1001
1657,1262,913,1002
1658,1263,96,1000
1659,1263,3314,1001
1660,1264,1121,1002
1661,1264,1865,1000
1662,1264,3960,1001
1663,1265,6949,1002
1664,1265,1228,1000
1665,1265,1966,1001
1666,1266,242,1002
1667,1266,1819,1000
1668,1267,8259,1001
1669,1267,7127,1002
1670,1268,4184,1000
1671,1268,5988,1001
1672,1269,8599,1002
1673,1269,9950,1000
1674,1269,979,1001
1675,1270,8643,1002
1676,1270,2751,1000
1677,1270,626,1001
1678,1271,1572,1002
1679,1271,2451,1000
1680,1272,9973,1001
1681,1272,1718,1002
1682,1272,3727,1000
1683,1273,190,1001
1684,1273,5252,1002
1685,1273,592,1000
1686,1274,8027,1001
1687,1274,5639,1002
1688,1274,7185,1000
1689,1275,763,1001
1690,1275,7011,1002
1691,1275,1602,1000
1692,1276,3039,1001
1693,1276,7077,1002
1694,1276,6375,1000
1695,1277,6887,1001
1696,1277,4169,1002
1697,1278,3762,1000
1698,1278,9116,1001
1699,1278,4130,1002
1700,1279,7724,1000
1701,1279,2791,1001
1702,1280,3672,1002
1703,1280,9622,1000
1704,1281,6538,1001
1705,1281,976,1002
1706,1282,8487,1000
1707,1282,6437,1001
1708,1283,104,1002
1709,1283,5658,1000
1710,1284,3945,1001
1711,1284,8362,1002
1712,1284,5168,1000
1713,1285,2297,1001
1714,1285,8721,1002
1715,1285,2367,1000
1716,1286,2480,1001
1717,1286,5028,1002
1718,1287,6903,1000
1719,1287,8391,1001
1720,1287,7546,1002
1721,1288,4,1000
1722,1288,5159,1001
1723,1288,2645,1002
1724,1289,6930,1000
1725,1289,2473,1001
1726,1289,753,1002
1727,1290,9299,1000
1728,1290,7795,1001
1729,1290,3765,1002
1730,1291,5031,1000
1731,1291,7629,1001
1732,1291,5994,1002
1733,1292,6302,1000
1734,1292,1665,1001
1735,1293,8275,1002
1736,1293,3161,1000
1737,1294,6608,1001
1738,1294,2860,1002
1739,1295,3386,1000
1740,1295,8534,1001
1741,1295,521,1002
1742,1296,375,1000
1743,1296,3980,1001
1744,1297,3385,1002
1745,1297,9788,1000
1746,1297,6388,1001
1747,1298,8179,1002
1748,1298,8545,1000
1749,1299,63,1001
1750,1299,1037,1002
1751,1300,4210,1000
1752,1300,9552,1001
1753,1301,8284,1002
1754,1301,93,1000
1755,1302,8540,1001
1756,1302,3290,1002
1757,1303,1219,1000
1758,1303,2627,1001
1759,1303,171,1002
1760,1304,490,1000
1761,1304,1543,1001
1762,1305,5747,1002
1763,1305,1162,1000
1764,1306,8622,1001
1765,1306,5245,1002
1766,1307,1316,1000
1767,1307,2252,1001
1768,1307,406,1002
1769,1308,4000,1000
1770,1308,4514,1001
1771,1308,3571,1002
1772,1309,904,1000
1773,1309,5759,1001
1774,1309,6365,1002
1775,1310,1961,1000
1776,1310,3599,1001
1777,1310,1245,1002
1778,1311,2793,1000
1779,1311,8778,1001
1780,1311,6232,1002
1781,1312,8081,1000
1782,1312,6493,1001
1783,1313,6280,1002
1784,1313,8435,1000
1785,1314,1876,1001
1786,1314,5700,1002
1787,1315,8582,1000
1788,1315,9768,1001
1789,1315,7221,1002
1790,1316,9822,1000
1791,1316,2910,1001
1792,1316,2591,1002
1793,1317,2664,1000
1794,1317,2288,1001
1795,1318,2459,1002
1796,1318,5271,1000
1797,1318,6274,1001
1798,1319,272,1002
1799,1319,431,1000
1800,1320,608,1001
1801,1320,7103,1002
1802,1320,5386,1000
1803,1321,3567,1001
1804,1321,6673,1002
1805,1322,9261,1000
1806,1322,9326,1001
1807,1322,4498,1002
1808,1323,2498,1000
1809,1323,8990,1001
1810,1324,7375,1002
1811,1324,3429,1000
1812,1325,7187,1001
1813,1325,5978,1002
1814,1325,5925,1000
1815,1326,2985,1001
1816,1326,3972,1002
1817,1326,1003,1000
1818,1327,8604,1001
1819,1327,1684,1002
1820,1328,8075,1000
1821,1328,302,1001
1822,1329,419,1002
1823,1329,8748,1000
1824,1329,1601,1001
1825,1330,9065,1002
1826,1330,4238,1000
1827,1331,6783,1001
1828,1331,1189,1002
1829,1331,6575,1000
1830,1332,3701,1001
1831,1332,7230,1002
1832,1333,8135,1000
1833,1333,4942,1001
1834,1334,1858,1002
1835,1334,6461,1000
1836,1335,6926,1001
1837,1335,7394,1002
1838,1336,4247,1000
1839,1336,1717,1001
1840,1337,8323,1002
1841,1337,2319,1000
1842,1338,3238,1001
1843,1338,5203,1002
1844,1339,2452,1000
1845,1339,7819,1001
1846,1340,1591,1002
1847,1340,3238,1000
1848,1341,7138,1001
1849,1341,656,1002
1850,1342,4901,1000
1851,1342,8756,1001
1852,1343,8915,1002
1853,1343,1119,1000
1854,1343,7457,1001
1855,1344,8486,1002
1856,1344,2944,1000
1857,1344,1944,1001
1858,1345,1374,1002
1859,1345,3607,1000
1860,1346,968,1001
1861,1346,4660,1002
1862,1347,8803,1000
1863,1347,5641,1001
1864,1348,5180,1002
1865,1348,9595,1000
1866,1349,2684,1001
1867,1349,3856,1002
1868,1349,3201,1000
1869,1350,3150,1001
1870,1350,8682,1002
1871,1351,4500,1000
1872,1351,145,1001
1873,1352,6094,1002
1874,1352,8798,1000
1875,1353,1828,1001
1876,1353,4314,1002
1877,1354,6994,1000
1878,1354,2306,1001
1879,1355,8574,1002
1880,1355,4269,1000
1881,1355,6150,1001
1882,1356,2384,1002
1883,1356,9976,1000
1884,1357,1056,1001
1885,1357,4711,1002
1886,1358,5432,1000
1887,1358,3722,1001
1888,1358,6509,1002
1889,1359,7415,1000
1890,1359,991,1001
1891,1360,5809,1002
1892,1360,6609,1000
1893,1361,2095,1001
1894,1361,8523,1002
1895,1361,7278,1000
1896,1362,5038,1001
1897,1362,9992,1002
1898,1362,8008,1000
1899,1363,9461,1001
1900,1363,233,1002
1901,1363,4177,1000
1902,1364,4902,1001
1903,1364,2591,1002
1904,1365,1164,1000
1905,1365,1357,1001
1906,1366,1592,1002
1907,1366,3960,1000
1908,1366,6677,1001
1909,1367,6050,1002
1910,1367,1206,1000
1911,1368,4161,1001
1912,1368,8037,1002
1913,1369,842,1000
1914,1369,9708,1001
1915,1370,8127,1002
1916,1370,1795,1000
1917,1371,293,1001
1918,1371,809,1002
1919,1372,3194,1000
1920,1372,6071,1001
1921,1373,3174,1002
1922,1373,9953,1000
1923,1373,815,1001
1924,1374,207,1002
1925,1374,7954,1000
1926,1375,1196,1001
1927,1375,847,1002
1928,1375,4525,1000
1929,1376,6932,1001
1930,1376,116,1002
1931,1376,5022,1000
1932,1377,7334,1001
1933,1377,7276,1002
1934,1377,6091,1000
1935,1378,3108,1001
1936,1378,2724,1002
1937,1378,8811,1000
1938,1379,1123,1001
1939,1379,5343,1002
1940,1380,2758,1000
1941,1380,4792,1001
1942,1380,6195,1002
1943,1381,5632,1000
1944,1381,5963,1001
1945,1382,7502,1002
1946,1382,2953,1000
1947,1383,5721,1001
1948,1383,763,1002
1949,1383,3324,1000
1950,1384,2147,1001
1951,1384,1829,1002
1952,1385,7710,1000
1953,1385,9955,1001
1954,1385,8900,1002
1955,1386,7488,1000
1956,1386,5538,1001
1957,1387,2972,1002
1958,1387,5606,1000
1959,1387,571,1001
1960,1388,9529,1002
1961,1388,8896,1000
1962,1388,8802,1001
1963,1389,1882,1002
1964,1389,2104,1000
1965,1390,621,1001
1966,1390,7977,1002
1967,1391,2021,1000
1968,1391,5578,1001
1969,1391,3608,1002
1970,1392,7551,1000
1971,1392,9338,1001
1972,1393,3947,1002
1973,1393,8229,1000
1974,1393,6234,1001
1975,1394,8857,1002
1976,1394,7710,1000
1977,1395,6145,1001
1978,1395,3287,1002
1979,1395,3479,1000
1980,1396,104,1001
1981,1396,1625,1002
1982,1397,2390,1000
1983,1397,9516,1001
1984,1398,3426,1002
1985,1398,2560,1000
1986,1399,249,1001
1987,1399,1589,1002
1988,1399,2762,1000
1989,1400,9533,1001
1990,1400,4681,1002
1991,1400,2882,1000
1992,1401,962,1001
1993,1401,2074,1002
1994,1402,113,1000
1995,1402,4345,1001
1996,1402,2736,1002
1997,1403,9478,1000
1998,1403,6769,1001
1999,1404,513,1002
2000,1404,6733,1000
2001,1405,2196,1001
2002,1405,7244,1002
2003,1406,4344,1000
2004,1406,7510,1001
2005,1407,8458,1002
2006,1407,9898,1000
2007,1408,2734,1001
2008,1408,6318,1002
2009,1409,2851,1000
2010,1409,2871,1001
2011,1410,7720,1002
2012,1410,4250,1000
2013,1411,8686,1001
2014,1411,8178,1002
2015,1412,8686,1000
2016,1412,6739,1001
2017,1412,3980,1002
2018,1413,3343,1000
2019,1413,5788,1001
2020,1413,7320,1002
2021,1414,3141,1000
2022,1414,7190,1001
2023,1414,6613,1002
2024,1415,169,1000
2025,1415,9972,1001
2026,1416,8321,1002
2027,1416,3419,1000
2028,1417,5917,1001
2029,1417,8679,1002
2030,1417,9154,1000
2031,1418,3209,1001
2032,1418,4381,1002
2033,1418,5792,1000
2034,1419,9018,1001
2035,1419,1274,1002
2036,1420,3303,1000
2037,1420,1366,1001
2038,1420,4771,1002
2039,1421,9902,1000
2040,1421,4956,1001
2041,1421,7605,1002
2042,1422,1288,1000
2043,1422,3580,1001
2044,1423,498,1002
2045,1423,57,1000
2046,1424,6184,1001
2047,1424,8347,1002
2048,1425,9794,1000
2049,1425,8183,1001
2050,1426,7590,1002
2051,1426,7559,1000
2052,1427,7867,1001
2053,1427,3877,1002
2054,1428,4123,1000
2055,1428,7123,1001
2056,1429,829,1002
2057,1429,301,1000
2058,1430,6419,1001
2059,1430,5681,1002
2060,1430,6863,1000
2061,1431,6190,1001
2062,1431,3244,1002
2063,1431,2491,1000
2064,1432,1898,1001
2065,1432,2187,1002
2066,1432,1994,1000
2067,1433,4526,1001
2068,1433,2252,1002
2069,1434,2746,1000
2070,1434,9638,1001
2071,1435,6570,1002
2072,1435,1798,1000
2073,1436,4981,1001
2074,1436,2666,1002
2075,1436,8739,1000
2076,1437,4718,1001
2077,1437,4077,1002
2078,1437,2566,1000
2079,1438,3699,1001
2080,1438,9102,1002
2081,1438,3042,1000
2082,1439,3695,1001
2083,1439,4453,1002
2084,1440,7059,1000
2085,1440,9356,1001
2086,1441,9322,1002
2087,1441,6236,1000
2088,1441,9903,1001
2089,1442,2454,1002
2090,1442,8245,1000
2091,1443,2586,1001
2092,1443,1639,1002
2093,1444,8429,1000
2094,1444,2463,1001
2095,1445,9465,1002
2096,1445,8309,1000
2097,1446,869,1001
2098,1446,4955,1002
2099,1446,7014,1000
2100,1447,9991,1001
2101,1447,5652,1002
2102,1448,4705,1000
2103,1448,1872,1001
2104,1448,4750,1002
2105,1449,3365,1000
2106,1449,6989,1001
2107,1450,7198,1002
2108,1450,592,1000
2109,1450,2039,1001
2110,1451,9438,1002
2111,1451,966,1000
2112,1452,2103,1001
2113,1452,5404,1002
2114,1452,8008,1000
2115,1453,7655,1001
2116,1453,6528,1002
2117,1454,3898,1000
2118,1454,179,1001
2119,1455,6064,1002
2120,1455,2909,1000
2121,1455,9917,1001
2122,1456,4377,1002
2123,1456,9334,1000
2124,1456,8979,1001
2125,1457,7603,1002
2126,1457,8124,1000
2127,1458,1634,1001
2128,1458,9053,1002
2129,1459,5230,1000
2130,1459,2574,1001
2131,1460,65,1002
2132,1460,6007,1000
2133,1461,5286,1001
2134,1461,9478,1002
2135,1461,1602,1000
2136,1462,3635,1001
2137,1462,4133,1002
2138,1463,3970,1000
2139,1463,7580,1001
2140,1463,5592,1002
2141,1464,4073,1000
2142,1464,8240,1001
2143,1464,2005,1002
2144,1465,5758,1000
2145,1465,8885,1001
2146,1465,5123,1002
2147,1466,3099,1000
2148,1466,99,1001
2149,1467,9184,1002
2150,1467,276,1000
2151,1468,447,1001
2152,1468,2713,1002
2153,1468,3956,1000
2154,1469,8031,1001
2155,1469,8758,1002
2156,1469,9765,1000
2157,1470,6496,1001
2158,1470,4386,1002
2159,1471,615,1000
2160,1471,6178,1001
2161,1471,9831,1002
2162,1472,7057,1000
2163,1472,1823,1001
2164,1473,4828,1002
2165,1473,5039,1000
2166,1473,517,1001
2167,1474,3263,1002
2168,1474,310,1000
2169,1475,739,1001
2170,1475,2856,1002
2171,1476,7325,1000
2172,1476,5204,1001
